"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","localhost","localhost","TCP","128","34752  >  49152 [PSH, ACK] Seq=1 Ack=1 Win=9340 Len=62 TSval=3830928912 TSecr=3830926913"
"2","0.000047081","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=63 Ack=1 Win=9340 Len=1 TSval=3830928912 TSecr=3830926913"
"3","0.000076440","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=1 Ack=64 Win=512 Len=0 TSval=3830928912 TSecr=3830928912"
"4","0.000184396","localhost","localhost","TCP","156","49152  >  34752 [PSH, ACK] Seq=1 Ack=64 Win=512 Len=90 TSval=3830928913 TSecr=3830928912"
"5","0.000214661","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=91 Ack=64 Win=512 Len=1 TSval=3830928913 TSecr=3830928912"
"6","0.000243925","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=64 Ack=92 Win=9340 Len=0 TSval=3830928913 TSecr=3830928913"
"7","0.000303454","localhost","localhost","TCP","124","34752  >  49152 [PSH, ACK] Seq=64 Ack=92 Win=9340 Len=58 TSval=3830928913 TSecr=3830928913"
"8","0.000333980","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=122 Ack=92 Win=9340 Len=1 TSval=3830928913 TSecr=3830928913"
"9","0.000353279","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=92 Ack=123 Win=512 Len=0 TSval=3830928913 TSecr=3830928913"
"10","0.000498732","localhost","localhost","TCP","439","49152  >  34752 [PSH, ACK] Seq=92 Ack=123 Win=512 Len=373 TSval=3830928913 TSecr=3830928913"
"11","0.000526253","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=465 Ack=123 Win=512 Len=1 TSval=3830928913 TSecr=3830928913"
"12","0.000602462","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=123 Ack=466 Win=9340 Len=0 TSval=3830928913 TSecr=3830928913"
"13","0.000680383","localhost","localhost","TCP","128","34752  >  49152 [PSH, ACK] Seq=123 Ack=466 Win=9340 Len=62 TSval=3830928913 TSecr=3830928913"
"14","0.000701081","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=185 Ack=466 Win=9340 Len=1 TSval=3830928913 TSecr=3830928913"
"15","0.000719084","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=466 Ack=186 Win=512 Len=0 TSval=3830928913 TSecr=3830928913"
"16","0.000768121","localhost","localhost","TCP","156","49152  >  34752 [PSH, ACK] Seq=466 Ack=186 Win=512 Len=90 TSval=3830928913 TSecr=3830928913"
"17","0.000790852","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=556 Ack=186 Win=512 Len=1 TSval=3830928913 TSecr=3830928913"
"18","0.000812312","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=186 Ack=557 Win=9340 Len=0 TSval=3830928913 TSecr=3830928913"
"19","0.000859702","localhost","localhost","TCP","122","34752  >  49152 [PSH, ACK] Seq=186 Ack=557 Win=9340 Len=56 TSval=3830928913 TSecr=3830928913"
"20","0.000883747","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=242 Ack=557 Win=9340 Len=1 TSval=3830928913 TSecr=3830928913"
"21","0.000901410","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=557 Ack=243 Win=512 Len=0 TSval=3830928913 TSecr=3830928913"
"22","0.001016988","localhost","localhost","TCP","270","49152  >  34752 [PSH, ACK] Seq=557 Ack=243 Win=512 Len=204 TSval=3830928913 TSecr=3830928913"
"23","0.001042300","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=761 Ack=243 Win=512 Len=1 TSval=3830928913 TSecr=3830928913"
"24","0.001060835","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=243 Ack=762 Win=9340 Len=0 TSval=3830928913 TSecr=3830928913"
"25","1.379062496","localhost","localhost","TCP","128","34752  >  49152 [PSH, ACK] Seq=243 Ack=762 Win=9340 Len=62 TSval=3830930291 TSecr=3830928913"
"26","1.379127380","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=305 Ack=762 Win=9340 Len=1 TSval=3830930292 TSecr=3830928913"
"27","1.379161601","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=762 Ack=306 Win=512 Len=0 TSval=3830930292 TSecr=3830930291"
"28","1.379241091","localhost","localhost","TCP","156","49152  >  34752 [PSH, ACK] Seq=762 Ack=306 Win=512 Len=90 TSval=3830930292 TSecr=3830930291"
"29","1.379267025","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=852 Ack=306 Win=512 Len=1 TSval=3830930292 TSecr=3830930291"
"30","1.379298394","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=306 Ack=853 Win=9340 Len=0 TSval=3830930292 TSecr=3830930292"
"31","1.379363693","localhost","localhost","TCP","124","34752  >  49152 [PSH, ACK] Seq=306 Ack=853 Win=9340 Len=58 TSval=3830930292 TSecr=3830930292"
"32","1.379397037","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=364 Ack=853 Win=9340 Len=1 TSval=3830930292 TSecr=3830930292"
"33","1.379466067","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=853 Ack=365 Win=512 Len=0 TSval=3830930292 TSecr=3830930292"
"34","1.379633028","localhost","localhost","TCP","439","49152  >  34752 [PSH, ACK] Seq=853 Ack=365 Win=512 Len=373 TSval=3830930292 TSecr=3830930292"
"35","1.379654871","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=1226 Ack=365 Win=512 Len=1 TSval=3830930292 TSecr=3830930292"
"36","1.379686088","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=365 Ack=1227 Win=9340 Len=0 TSval=3830930292 TSecr=3830930292"
"37","1.379769745","localhost","localhost","TCP","128","34752  >  49152 [PSH, ACK] Seq=365 Ack=1227 Win=9340 Len=62 TSval=3830930292 TSecr=3830930292"
"38","1.379792803","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=427 Ack=1227 Win=9340 Len=1 TSval=3830930292 TSecr=3830930292"
"39","1.379862776","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=1227 Ack=428 Win=512 Len=0 TSval=3830930292 TSecr=3830930292"
"40","1.379917285","localhost","localhost","TCP","156","49152  >  34752 [PSH, ACK] Seq=1227 Ack=428 Win=512 Len=90 TSval=3830930292 TSecr=3830930292"
"41","1.379937682","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=1317 Ack=428 Win=512 Len=1 TSval=3830930292 TSecr=3830930292"
"42","1.379959110","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=428 Ack=1318 Win=9340 Len=0 TSval=3830930292 TSecr=3830930292"
"43","1.380003966","localhost","localhost","TCP","124","34752  >  49152 [PSH, ACK] Seq=428 Ack=1318 Win=9340 Len=58 TSval=3830930292 TSecr=3830930292"
"44","1.380033024","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=486 Ack=1318 Win=9340 Len=1 TSval=3830930292 TSecr=3830930292"
"45","1.380058313","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=1318 Ack=487 Win=512 Len=0 TSval=3830930292 TSecr=3830930292"
"46","1.380189863","localhost","localhost","TCP","439","49152  >  34752 [PSH, ACK] Seq=1318 Ack=487 Win=512 Len=373 TSval=3830930293 TSecr=3830930292"
"47","1.380210895","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=1691 Ack=487 Win=512 Len=1 TSval=3830930293 TSecr=3830930292"
"48","1.380225863","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=487 Ack=1692 Win=9340 Len=0 TSval=3830930293 TSecr=3830930293"
"49","2.000778315","localhost","localhost","TCP","128","34752  >  49152 [PSH, ACK] Seq=487 Ack=1692 Win=9340 Len=62 TSval=3830930913 TSecr=3830930293"
"50","2.000831116","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=549 Ack=1692 Win=9340 Len=1 TSval=3830930913 TSecr=3830930293"
"51","2.000871989","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=1692 Ack=550 Win=512 Len=0 TSval=3830930913 TSecr=3830930913"
"52","2.000933582","localhost","localhost","TCP","156","49152  >  34752 [PSH, ACK] Seq=1692 Ack=550 Win=512 Len=90 TSval=3830930913 TSecr=3830930913"
"53","2.000953176","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=1782 Ack=550 Win=512 Len=1 TSval=3830930913 TSecr=3830930913"
"54","2.000984260","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=550 Ack=1783 Win=9340 Len=0 TSval=3830930913 TSecr=3830930913"
"55","2.001036024","localhost","localhost","TCP","124","34752  >  49152 [PSH, ACK] Seq=550 Ack=1783 Win=9340 Len=58 TSval=3830930913 TSecr=3830930913"
"56","2.001063254","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=608 Ack=1783 Win=9340 Len=1 TSval=3830930913 TSecr=3830930913"
"57","2.001074091","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=1783 Ack=609 Win=512 Len=0 TSval=3830930913 TSecr=3830930913"
"58","2.001200011","localhost","localhost","TCP","439","49152  >  34752 [PSH, ACK] Seq=1783 Ack=609 Win=512 Len=373 TSval=3830930914 TSecr=3830930913"
"59","2.001218204","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=2156 Ack=609 Win=512 Len=1 TSval=3830930914 TSecr=3830930913"
"60","2.001237419","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=609 Ack=2157 Win=9340 Len=0 TSval=3830930914 TSecr=3830930914"
"61","2.001332269","localhost","localhost","TCP","128","34752  >  49152 [PSH, ACK] Seq=609 Ack=2157 Win=9340 Len=62 TSval=3830930914 TSecr=3830930914"
"62","2.001353350","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=671 Ack=2157 Win=9340 Len=1 TSval=3830930914 TSecr=3830930914"
"63","2.001423141","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=2157 Ack=672 Win=512 Len=0 TSval=3830930914 TSecr=3830930914"
"64","2.001471027","localhost","localhost","TCP","156","49152  >  34752 [PSH, ACK] Seq=2157 Ack=672 Win=512 Len=90 TSval=3830930914 TSecr=3830930914"
"65","2.001488058","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=2247 Ack=672 Win=512 Len=1 TSval=3830930914 TSecr=3830930914"
"66","2.001503275","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=672 Ack=2248 Win=9340 Len=0 TSval=3830930914 TSecr=3830930914"
"67","2.001535625","localhost","localhost","TCP","122","34752  >  49152 [PSH, ACK] Seq=672 Ack=2248 Win=9340 Len=56 TSval=3830930914 TSecr=3830930914"
"68","2.001552329","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=728 Ack=2248 Win=9340 Len=1 TSval=3830930914 TSecr=3830930914"
"69","2.001622679","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=2248 Ack=729 Win=512 Len=0 TSval=3830930914 TSecr=3830930914"
"70","2.001749749","localhost","localhost","TCP","270","49152  >  34752 [PSH, ACK] Seq=2248 Ack=729 Win=512 Len=204 TSval=3830930914 TSecr=3830930914"
"71","2.001768204","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=2452 Ack=729 Win=512 Len=1 TSval=3830930914 TSecr=3830930914"
"72","2.001789723","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=729 Ack=2453 Win=9340 Len=0 TSval=3830930914 TSecr=3830930914"
"73","4.000958356","localhost","localhost","TCP","128","34752  >  49152 [PSH, ACK] Seq=729 Ack=2453 Win=9340 Len=62 TSval=3830932913 TSecr=3830930914"
"74","4.000987143","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=791 Ack=2453 Win=9340 Len=1 TSval=3830932913 TSecr=3830930914"
"75","4.001017118","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=2453 Ack=792 Win=512 Len=0 TSval=3830932913 TSecr=3830932913"
"76","4.001073782","localhost","localhost","TCP","156","49152  >  34752 [PSH, ACK] Seq=2453 Ack=792 Win=512 Len=90 TSval=3830932913 TSecr=3830932913"
"77","4.001108503","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=2543 Ack=792 Win=512 Len=1 TSval=3830932914 TSecr=3830932913"
"78","4.001158374","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=792 Ack=2544 Win=9340 Len=0 TSval=3830932914 TSecr=3830932913"
"79","4.001250401","localhost","localhost","TCP","124","34752  >  49152 [PSH, ACK] Seq=792 Ack=2544 Win=9340 Len=58 TSval=3830932914 TSecr=3830932913"
"80","4.001275504","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=850 Ack=2544 Win=9340 Len=1 TSval=3830932914 TSecr=3830932913"
"81","4.001325773","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=2544 Ack=851 Win=512 Len=0 TSval=3830932914 TSecr=3830932914"
"82","4.001413111","localhost","localhost","TCP","439","49152  >  34752 [PSH, ACK] Seq=2544 Ack=851 Win=512 Len=373 TSval=3830932914 TSecr=3830932914"
"83","4.001427165","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=2917 Ack=851 Win=512 Len=1 TSval=3830932914 TSecr=3830932914"
"84","4.001457752","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=851 Ack=2918 Win=9340 Len=0 TSval=3830932914 TSecr=3830932914"
"85","4.001558696","localhost","localhost","TCP","128","34752  >  49152 [PSH, ACK] Seq=851 Ack=2918 Win=9340 Len=62 TSval=3830932914 TSecr=3830932914"
"86","4.001583120","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=913 Ack=2918 Win=9340 Len=1 TSval=3830932914 TSecr=3830932914"
"87","4.001636649","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=2918 Ack=914 Win=512 Len=0 TSval=3830932914 TSecr=3830932914"
"88","4.001670263","localhost","localhost","TCP","156","49152  >  34752 [PSH, ACK] Seq=2918 Ack=914 Win=512 Len=90 TSval=3830932914 TSecr=3830932914"
"89","4.001683406","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=3008 Ack=914 Win=512 Len=1 TSval=3830932914 TSecr=3830932914"
"90","4.001713763","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=914 Ack=3009 Win=9340 Len=0 TSval=3830932914 TSecr=3830932914"
"91","4.001781237","localhost","localhost","TCP","122","34752  >  49152 [PSH, ACK] Seq=914 Ack=3009 Win=9340 Len=56 TSval=3830932914 TSecr=3830932914"
"92","4.001792303","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=970 Ack=3009 Win=9340 Len=1 TSval=3830932914 TSecr=3830932914"
"93","4.001859326","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=3009 Ack=971 Win=512 Len=0 TSval=3830932914 TSecr=3830932914"
"94","4.001932223","localhost","localhost","TCP","270","49152  >  34752 [PSH, ACK] Seq=3009 Ack=971 Win=512 Len=204 TSval=3830932914 TSecr=3830932914"
"95","4.001945958","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=3213 Ack=971 Win=512 Len=1 TSval=3830932914 TSecr=3830932914"
"96","4.001964979","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=971 Ack=3214 Win=9340 Len=0 TSval=3830932914 TSecr=3830932914"
"97","6.001190243","localhost","localhost","TCP","128","34752  >  49152 [PSH, ACK] Seq=971 Ack=3214 Win=9340 Len=62 TSval=3830934914 TSecr=3830932914"
"98","6.001258202","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=1033 Ack=3214 Win=9340 Len=1 TSval=3830934914 TSecr=3830932914"
"99","6.001297889","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=3214 Ack=1034 Win=512 Len=0 TSval=3830934914 TSecr=3830934914"
"100","6.001356389","localhost","localhost","TCP","156","49152  >  34752 [PSH, ACK] Seq=3214 Ack=1034 Win=512 Len=90 TSval=3830934914 TSecr=3830934914"
"101","6.001374345","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=3304 Ack=1034 Win=512 Len=1 TSval=3830934914 TSecr=3830934914"
"102","6.001464115","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=1034 Ack=3305 Win=9340 Len=0 TSval=3830934914 TSecr=3830934914"
"103","6.001561195","localhost","localhost","TCP","124","34752  >  49152 [PSH, ACK] Seq=1034 Ack=3305 Win=9340 Len=58 TSval=3830934914 TSecr=3830934914"
"104","6.001591066","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=1092 Ack=3305 Win=9340 Len=1 TSval=3830934914 TSecr=3830934914"
"105","6.001645640","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=3305 Ack=1093 Win=512 Len=0 TSval=3830934914 TSecr=3830934914"
"106","6.001753589","localhost","localhost","TCP","439","49152  >  34752 [PSH, ACK] Seq=3305 Ack=1093 Win=512 Len=373 TSval=3830934914 TSecr=3830934914"
"107","6.001772294","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=3678 Ack=1093 Win=512 Len=1 TSval=3830934914 TSecr=3830934914"
"108","6.001821003","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=1093 Ack=3679 Win=9340 Len=0 TSval=3830934914 TSecr=3830934914"
"109","6.001952668","localhost","localhost","TCP","128","34752  >  49152 [PSH, ACK] Seq=1093 Ack=3679 Win=9340 Len=62 TSval=3830934914 TSecr=3830934914"
"110","6.001995230","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=1155 Ack=3679 Win=9340 Len=1 TSval=3830934914 TSecr=3830934914"
"111","6.002055116","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=3679 Ack=1156 Win=512 Len=0 TSval=3830934914 TSecr=3830934914"
"112","6.002123933","localhost","localhost","TCP","156","49152  >  34752 [PSH, ACK] Seq=3679 Ack=1156 Win=512 Len=90 TSval=3830934915 TSecr=3830934914"
"113","6.002142628","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=3769 Ack=1156 Win=512 Len=1 TSval=3830934915 TSecr=3830934914"
"114","6.002202154","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=1156 Ack=3770 Win=9340 Len=0 TSval=3830934915 TSecr=3830934915"
"115","6.002276579","localhost","localhost","TCP","122","34752  >  49152 [PSH, ACK] Seq=1156 Ack=3770 Win=9340 Len=56 TSval=3830934915 TSecr=3830934915"
"116","6.002305287","localhost","localhost","TCP","67","34752  >  49152 [PSH, ACK] Seq=1212 Ack=3770 Win=9340 Len=1 TSval=3830934915 TSecr=3830934915"
"117","6.002364906","localhost","localhost","TCP","66","49152  >  34752 [ACK] Seq=3770 Ack=1213 Win=512 Len=0 TSval=3830934915 TSecr=3830934915"
"118","6.002461402","localhost","localhost","TCP","270","49152  >  34752 [PSH, ACK] Seq=3770 Ack=1213 Win=512 Len=204 TSval=3830934915 TSecr=3830934915"
"119","6.002480732","localhost","localhost","TCP","67","49152  >  34752 [PSH, ACK] Seq=3974 Ack=1213 Win=512 Len=1 TSval=3830934915 TSecr=3830934915"
"120","6.002523114","localhost","localhost","TCP","66","34752  >  49152 [ACK] Seq=1213 Ack=3975 Win=9340 Len=0 TSval=3830934915 TSecr=3830934915"
